Marca temporal,AGE,DISC,STDH,LAB,PM,PS,SC,MM,SA,NMR
5/11/2025 23:05,21,No,2,Si,350,Si,0,4,6,4
6/11/2025 10:04,26,No,3,Si,321,Si,3,4,6,3
6/11/2025 10:09,20,No,3,No,365,Si,2,5,5,2
6/11/2025 10:24,21,No,4,No,370,Si,0,7,10,4
6/11/2025 10:30,21,No,4,Si,400,No,1,6,10,2
6/11/2025 10:32,23,No,2,No,384,Si,4,5,10,5
6/11/2025 10:33,22,No,2,No,356,Si,3,5,10,9
6/11/2025 11:29,25,No,2,Si,350,No,5,5,9,6
6/11/2025 11:30,21,No,3,No,371,Si,0,6,8,3
6/11/2025 11:30,20,No,3,Si,381,Si,0,6,8,1
6/11/2025 11:30,21,No,2,No,383,Si,0,6,8,3
6/11/2025 11:31,22,No,2,No,365,Si,2,6,10,6
6/11/2025 11:31,22,No,3,Si,402,No,0,6,9,1
6/11/2025 11:35,20,No,4,No,409,Si,0,6,8,1
6/11/2025 11:36,21,No,1,Si,408,Si,0,7,9,0
6/11/2025 11:36,19,No,3,No,357,Si,1,5,6,3
6/11/2025 11:39,19,No,3,No,399,Si,0,6,8,2
6/11/2025 11:40,19,Prefiere no responder,3,Si,338,Si,2,5,8,3
6/11/2025 11:40,18,No,2,No,343,Si,1,5,4,2
6/11/2025 11:41,21,No,2,Si,363,Si,2,5,6,1
6/11/2025 11:42,18,No,3,No,338,Si,1,5,4,3
6/11/2025 11:43,25,No,3,Si,338,Si,0,5,6,0
6/11/2025 11:46,20,No,3,No,337,Si,2,5,6,6
6/11/2025 11:49,18,No,3,No,355,Si,0,7,2,1
6/11/2025 11:55,22,No,2,Si,355,Si,5,5,10,6
6/11/2025 11:56,20,No,2,Si,379,Si,1,6,9,2
6/11/2025 11:58,17,No,2,Si,314,Si,0,7,2,2
6/11/2025 12:01,20,No,3,No,393,Si,0,6,7,1
6/11/2025 12:01,19,No,3,No,337,Si,2,5,3,2
6/11/2025 12:04,19,No,2,No,350,Si,3,5,6,2
6/11/2025 12:14,20,No,4,No,347,Si,0,6,6,2
6/11/2025 12:18,19,No,1,No,356,No,1,6,4,2
6/11/2025 12:19,30,No,1,Si,346,Si,4,4,8,3
6/11/2025 12:20,18,Prefiere no responder,1,No,306,No,1,6,1,3
6/11/2025 12:26,25,No,2,Si,312,Si,2,4,9,11
6/11/2025 12:27,24,No,1,Si,338,Si,4,5,16,13
6/11/2025 12:28,19,No,3,No,360,Si,0,5,4,2
6/11/2025 12:34,20,No,2,Si,380,Si,0,6,8,2
6/11/2025 12:43,19,No,3,No,347,Si,1,5,5,3
6/11/2025 12:58,19,Prefiere no responder,2,No,350,Si,0,5,6,6
6/11/2025 13:06,20,No,3,Si,379,No,0,6,8,3
6/11/2025 13:25,20,No,2,No,300,Si,0,7,2,0
6/11/2025 13:31,22,No,3,Si,328,Si,5,5,9,10
6/11/2025 13:40,19,No,4,No,345,Si,0,6,6,3
6/11/2025 13:55,19,No,2,No,330,Si,1,5,6,4
6/11/2025 14:05,19,No,4,No,365,No,1,5,6,0
6/11/2025 15:01,22,No,2,Si,344,Si,1,5,7,3
6/11/2025 17:20,18,No,3,No,366,Si,0,6,4,2
6/11/2025 17:20,18,No,3,No,380,Si,1,6,4,1
6/11/2025 17:30,17,No,1,No,314,Si,1,5,2,1
6/11/2025 22:42,20,No,2,Si,312,Si,0,5,6,4
7/11/2025 8:21,20,No,3,No,376,Si,0,4,4,0
7/11/2025 8:25,19,No,4,No,433,Si,1,5,6,0
7/11/2025 8:26,23,No,2,No,352,Si,0,6,8,5
7/11/2025 8:26,39,No,1,No,370,Si,1,3,6,2
7/11/2025 8:27,21,No,2,No,354,Si,1,5,7,3
7/11/2025 8:27,21,No,2,Si,348,No,0,6,6,3
7/11/2025 8:28,26,No,1,Si,350,Si,4,4,11,7
7/11/2025 8:40,22,No,3,Si,385,Si,3,5,11,3
7/11/2025 8:46,19,No,2,Si,360,Si,1,6,6,2
7/11/2025 10:48,20,No,2,No,340,Si,3,5,6,3
7/11/2025 11:49,22,Si,1,Si,345,Si,5,5,9,6
7/11/2025 12:57,19,No,1,No,375,Si,1,5,6,4
7/11/2025 13:56,17,No,2,No,326,Si,0,6,2,3
7/11/2025 13:58,23,No,2,Si,350,No,5,5,9,7
7/11/2025 14:03,21,No,2,Si,340,Si,4,4,10,5
7/11/2025 14:04,29,Prefiere no responder,4,Si,330,Si,4,6,12,13
7/11/2025 14:08,21,No,4,No,387,Si,0,7,9,2
7/11/2025 14:13,18,Si,2,No,368,Si,1,6,2,0
7/11/2025 14:13,27,No,4,No,366,Si,0,6,10,4
7/11/2025 14:14,17,No,2,No,364,Si,0,6,2,0
7/11/2025 14:14,41,No,2,Si,378,Si,0,6,10,2
7/11/2025 14:14,17,No,1,No,340,Si,0,6,2,3
7/11/2025 14:15,19,No,2,No,363,Si,0,6,2,0
7/11/2025 14:17,21,No,2,No,370,Si,2,5,8,3
7/11/2025 14:27,20,No,3,No,380,Si,0,6,8,3
7/11/2025 15:18,18,No,2,Si,368,Si,0,5,4,2
7/11/2025 15:30,19,No,2,No,401,Si,1,6,3,0
7/11/2025 15:56,22,No,3,Si,327,Si,3,1,7,4
7/11/2025 15:57,20,No,3,Si,356,Si,3,6,7,2
7/11/2025 16:38,21,No,4,Si,385,Si,1,6,7,0
7/11/2025 18:01,21,No,2,Si,327,Si,4,5,8,7
7/11/2025 18:06,27,No,3,No,325,Si,5,3,9,7
7/11/2025 18:37,22,No,3,No,353,Si,0,5,8,6
7/11/2025 18:38,18,No,1,No,332,Si,2,5,4,3
7/11/2025 19:33,20,No,1,No,374,Si,0,6,8,3
7/11/2025 21:57,20,No,2,Si,365,Si,1,6,8,3
7/11/2025 22:07,22,No,2,Si,313,Si,0,5,9,8
7/11/2025 22:07,22,No,4,No,380,Si,1,6,9,1
7/11/2025 22:09,23,No,3,Si,342,No,5,4,8,5
7/11/2025 22:09,20,No,3,Si,381,No,4,5,8,4
7/11/2025 22:10,20,No,2,No,361,Si,2,5,8,2
7/11/2025 22:10,20,No,3,No,355,Si,2,5,8,5
7/11/2025 22:12,20,No,2,No,330,Si,2,4,7,6
7/11/2025 22:35,20,No,2,Si,327,Si,1,5,5,4
7/11/2025 23:26,21,No,3,No,325,Si,3,6,9,3
8/11/2025 7:21,18,No,3,No,342,Si,0,5,2,1
8/11/2025 11:29,22,No,2,Si,386,Si,1,6,11,3
8/11/2025 12:06,22,No,2,No,363,Si,1,6,9,5
11/11/2025 19:49,18,No,2,Si,340,Si,0,6,4,2
